         179462 function calls (179405 primitive calls) in 0.777 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.000    0.000 {built-in method today}
        1    0.000    0.000    0.000    0.000 /usr/lib/python3/dist-packages/OpenSSL/SSL.py:700(__init__)
       18    0.000    0.000    0.000    0.000 /usr/lib/python3.8/email/_policybase.py:293(header_source_parse)
       27    0.000    0.000    0.000    0.000 /usr/lib/python3.8/email/_policybase.py:281(_sanitize_header)
       16    0.000    0.000    0.000    0.000 {built-in method _openssl.OBJ_obj2txt}
        1    0.000    0.000    0.394    0.394 /usr/lib/python3.8/http/client.py:300(begin)
       10    0.000    0.000    0.000    0.000 {method 'cast' of 'CompiledFFI' objects}
       12    0.000    0.000    0.000    0.000 /usr/lib/python3.8/queue.py:153(get)
        2    0.000    0.000    0.000    0.000 /usr/lib/python3.8/http/cookiejar.py:942(set_ok)
       77    0.000    0.000    0.000    0.000 {built-in method _openssl.sk_GENERAL_NAME_value}
        1    0.000    0.000    0.674    0.674 /usr/lib/python3/dist-packages/requests/sessions.py:617(send)
   108/91    0.000    0.000    0.000    0.000 /usr/lib/python3.8/abc.py:100(__subclasscheck__)
       79    0.000    0.000    0.001    0.000 /usr/lib/python3.8/re.py:250(compile)
        2    0.000    0.000    0.000    0.000 /usr/lib/python3.8/http/cookiejar.py:1596(make_cookies)
        1    0.000    0.000    0.512    0.512 /home/se/.local/lib/python3.8/site-packages/urllib3/connectionpool.py:351(_make_request)
        1    0.000    0.000    0.001    0.001 /usr/lib/python3/dist-packages/OpenSSL/crypto.py:587(__getattr__)
       43    0.000    0.000    0.000    0.000 {built-in method _openssl.SSL_get_cipher_list}
        1    0.000    0.000    0.000    0.000 /usr/lib/python3/dist-packages/cryptography/hazmat/backends/openssl/decode_asn1.py:533(_decode_dist_points)
       77    0.000    0.000    0.000    0.000 /usr/lib/python3/dist-packages/cryptography/x509/extensions.py:1217(<genexpr>)
        1    0.000    0.000    0.513    0.513 /home/se/.local/lib/python3.8/site-packages/urllib3/connectionpool.py:494(urlopen)
       33    0.000    0.000    0.159    0.005 /home/se/.local/lib/python3.8/site-packages/urllib3/response.py:543(stream)
        1    0.000    0.000    0.012    0.012 /home/se/.local/lib/python3.8/site-packages/urllib3/contrib/pyopenssl.py:370(getpeercert)
      109    0.000    0.000    0.000    0.000 /usr/lib/python3/dist-packages/cryptography/hazmat/bindings/openssl/binding.py:55(_openssl_assert)
        1    0.000    0.000    0.000    0.000 /usr/lib/python3/dist-packages/cryptography/hazmat/backends/openssl/decode_asn1.py:380(_decode_authority_information_access)
       22    0.000    0.000    0.000    0.000 /home/se/.local/lib/python3.8/site-packages/urllib3/_collections.py:155(__getitem__)
        3    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:849(get_code)
        4    0.000    0.000    0.000    0.000 /usr/lib/python3.8/email/message.py:497(get_all)
       30    0.000    0.000    0.000    0.000 /usr/lib/python3/dist-packages/cryptography/hazmat/_oid.py:58(__hash__)
       16    0.000    0.000    0.000    0.000 /usr/lib/python3.8/_collections_abc.py:657(get)
