         179518 function calls (179461 primitive calls) in 5.828 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        4    0.000    0.000    0.000    0.000 /usr/lib/python3.8/http/cookiejar.py:1575(_cookies_from_attrs_set)
      243    0.000    0.000    0.000    0.000 {built-in method builtins.getattr}
      7/3    0.000    0.000    0.000    0.000 /usr/lib/python3.8/sre_compile.py:71(_compile)
      138    0.000    0.000    0.000    0.000 {method '_checkClosed' of '_io._IOBase' objects}
       39    0.000    0.000    0.000    0.000 /usr/lib/python3.8/urllib/parse.py:110(_coerce_args)
       19    0.000    0.000    0.000    0.000 /usr/lib/python3.8/urllib/parse.py:417(urlsplit)
        4    0.000    0.000    0.000    0.000 /usr/lib/python3.8/email/message.py:497(get_all)
       73    0.000    0.000    0.003    0.000 /home/se/.local/lib/python3.8/site-packages/bs4/builder/_htmlparser.py:104(handle_startendtag)
       10    0.000    0.000    0.000    0.000 {built-in method _openssl.X509V3_EXT_d2i}
   108/91    0.000    0.000    0.000    0.000 {built-in method _abc._abc_subclasscheck}
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.8/email/feedparser.py:471(_parse_headers)
       79    0.000    0.000    0.000    0.000 /usr/lib/python3/dist-packages/cryptography/hazmat/backends/openssl/decode_asn1.py:755(_asn1_string_to_bytes)
      326    0.000    0.000    0.000    0.000 /usr/lib/python3.8/os.py:748(encode)
      636    0.000    0.000    0.000    0.000 /usr/lib/python3.8/os.py:752(decode)
        9    0.000    0.000    0.000    0.000 /usr/lib/python3.8/email/message.py:462(get)
       16    0.000    0.000    0.000    0.000 /usr/lib/python3/dist-packages/cryptography/hazmat/_oid.py:11(__init__)
        3    0.000    0.000    0.000    0.000 /usr/lib/python3/dist-packages/OpenSSL/SSL.py:306(wrapper)
      583    0.000    0.000    0.000    0.000 {method 'join' of 'str' objects}
        2    0.000    0.000    0.001    0.000 /usr/lib/python3.8/urllib/request.py:2490(getproxies_environment)
        1    0.000    0.000    0.128    0.128 /home/se/.local/lib/python3.8/site-packages/urllib3/connection.py:332(connect)
      109    0.000    0.000    0.000    0.000 /usr/lib/python3/dist-packages/cryptography/hazmat/backends/openssl/backend.py:130(openssl_assert)
       48    0.000    0.000    0.433    0.009 {method 'readline' of '_io.BufferedReader' objects}
      244    0.000    0.000    0.000    0.000 {method 'startswith' of 'bytes' objects}
      139    0.000    0.000    0.000    0.000 /usr/lib/python3.8/socket.py:694(readable)
        2    0.000    0.000    0.001    0.000 /usr/lib/python3.8/email/feedparser.py:218(_parsegen)
        3    0.000    0.000    0.000    0.000 {built-in method io.open_code}
        1    0.000    0.000    0.001    0.001 /usr/lib/python3.8/http/client.py:204(parse_headers)
        2    0.000    0.000    0.000    0.000 /usr/lib/python3.8/http/cookiejar.py:1483(_cookie_from_cookie_tuple)
